Flow Duration,Total Fwd Packets,Total Backward Packets,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd Packet Length Mean,Bwd Packet Length Mean,Packet Length Std,Down/Up Ratio,Source IP,Destination Port,Label
8459095,12,11,40302.64,35.54,411081.05,106582.71,389.11,627.18,619.93,1.4596,192.168.10.14,443,BENIGN
14519051,4,6,31327.05,28.79,317985.03,163263.04,419.72,728.94,402.32,1.5588,192.168.10.14,22,BENIGN
1061623,911,2,1394627.96,756.15,639.03,559.21,502.3,308.29,219.92,0.0083,172.16.0.1,443,DoS Hulk
820060,903,2,1135664.02,1389.33,930.27,538.68,899.93,250.53,226.74,0,172.16.0.1,443,DoS Hulk
1264252,6,13,20701.1,40.15,362946.7,143930.67,400.76,768.9,220.48,0.9779,192.168.10.15,443,BENIGN
17615011,136,8,14492.14,32.0,124266.24,18382.43,70.72,90.96,42.76,0.1099,172.16.0.1,22,SSH-Patator
1592192,774,5,2005575.87,534.46,1451.89,442.42,413.18,204.28,197.66,0.0055,172.16.0.1,443,DoS Hulk
116136,1,2,803.79,15.05,26237.66,23102.0,32.89,53.22,12.27,0.4683,172.16.0.1,85,PortScan
1377282,934,0,1296196.76,1037.81,1095.2,387.35,1115.71,242.18,183.49,0.0057,172.16.0.1,80,DoS Hulk
1726058,897,3,1339366.26,1053.34,940.17,384.43,384.42,305.23,214.05,0.0074,172.16.0.1,443,DoS Hulk
21200228,141,12,14747.33,40.12,72876.48,28197.07,61.31,93.76,50.94,0.0596,172.16.0.1,22,SSH-Patator
12610342,13,0,19872.63,0.28,119474.71,73801.88,355.87,483.95,434.66,1.1688,192.168.10.25,21,BENIGN
95813,1,0,889.52,23.22,55360.99,13294.38,55.26,47.93,15.34,0.592,172.16.0.1,75,PortScan
3051108,13,7,42135.86,46.95,183219.64,162678.7,381.95,459.6,471.4,1.4506,192.168.10.8,8080,BENIGN
146536,3,1,1031.96,15.78,52467.53,17889.82,41.44,29.67,10.62,0.4376,172.16.0.1,70,PortScan
12947519,14,12,20499.12,35.37,377323.95,73451.84,192.71,380.4,289.79,0.7559,192.168.10.14,25,BENIGN
12590297,7,0,40257.09,33.47,268583.76,184855.21,341.49,455.35,600.29,0.276,192.168.10.9,3389,BENIGN
7968773,6,6,28844.15,15.98,407486.38,104416.88,392.4,390.53,500.38,0.2774,192.168.10.3,443,BENIGN
36471784,23,0,264.05,0.35,2595821.33,285773.23,65.8,74.91,34.81,0.0608,172.16.0.1,443,DoS slowloris
52335,3,0,961.55,11.38,75913.02,24519.81,57.03,53.6,5.2,0.3323,172.16.0.1,33,PortScan
36530443,25,3,271.8,1.05,2536910.25,836894.69,54.11,69.04,33.04,0.0604,172.16.0.1,80,DoS slowloris
